"","id","family_id","name","latitude","longitude"
"395","fuli1240","atla1278","Fuliiru",-3.04022,28.9865
"396","fung1245","atla1278","Fungwa",10.5021,6.59138
"397","fwee1238","atla1278","Fwe",-17.72372,24.43151
"398","fyam1238","atla1278","Fyam",9.59006,9.22293
"399","gaaa1244","atla1278","Ga",5.65488,-0.18598
"400","gaaa1245","atla1278","Gaa",8.4809,11.9603
"401","gade1242","atla1278","Gade",8.71139,7.49869
"402","gamb1252","atla1278","Gambian Wolof",13.5337,-16.1544
"403","gamo1241","atla1278","Gamo-Ningi",10.9346,9.24843
"404","gana1270","atla1278","Ganang",9.93195,9.09741
"405","gand1255","atla1278","Ganda",0.66884,32.15153
"406","ganz1247","atla1278","Ganzi",6.544,19.347
"407","gbag1258","atla1278","Gbagyi",9.29842,6.90495
"408","gban1258","atla1278","Gbanziri-Boraka",4.68467,20.2609
"409","gban1260","atla1278","Gbanu",5.28183,17.3887
"410","gbar1246","atla1278","Gbari",8.46411,7.10757
"411","gbay1278","atla1278","Gbayi",5.57378,21.9707
"412","gbay1281","atla1278","Gbaya-Mbodomo",4.800365,14.606865
"413","gbay1286","atla1278","Gbaya-Bozoum",5.9879,16.4643
"414","gbay1287","atla1278","Gbaya-Bossangoa",6.61896,17.645
"415","gbes1238","atla1278","Gbesi Gbe",6.55911,2.0269
"416","gbir1241","atla1278","Gbiri-Niragu",10.3923,8.43157
"417","geme1244","atla1278","Geme",8.48359,20.6611
"418","genn1243","atla1278","Gen",6.25971,1.67727
"419","ghom1247","atla1278","Ghomálá'",5.39619,10.352
"420","ghot1243","atla1278","Ghotuo",7.11551,5.95663
"421","giky1238","atla1278","Gikyode",8.39478,0.56975
"422","gili1241","atla1278","Gilima",4.5585,19.0091
"423","gimm1241","atla1278","Gimme",8.58084,12.6658
"424","gimn1238","atla1278","Gimnime",8.58129,12.7869
"425","giny1241","atla1278","Ginyanga",8.2327,0.98348
"426","giry1241","atla1278","Giryama",-3.30638,39.6648
"427","gito1238","atla1278","Gitonga",-23.7964,35.1577
"428","gobu1238","atla1278","Gobu",5.01201,20.0194
"429","gogo1263","atla1278","Gogo",-6.35951,35.4807
"430","goka1239","atla1278","Gokana",4.61889,7.34457
